,Fight,OUTCOME
10787,Marco Polo Reyes  vs. Matt Frevola ,W/L
10788,Irene Aldana  vs. Talita Bernardo ,W/L
10789,Guido Cannetti  vs. Kyung Ho Kang ,L/W
10790,Jessica Eye  vs. Kalindra Faria ,W/L
10791,JJ Aldrich  vs. Danielle Taylor ,W/L
10792,Mike Santiago  vs. Mads Burnell ,L/W
10793,Holly Holm  vs. Cristiane Justino ,L/W
10794,Edson Barboza  vs. Khabib Nurmagomedov ,L/W
10795,Marc Diakiese  vs. Dan Hooker ,L/W
10796,Carla Esparza  vs. Cynthia Calvillo ,W/L
10797,Neil Magny  vs. Carlos Condit ,W/L
10798,Michal Oleksiejczuk  vs. Khalil Rountree Jr. ,NC/NC
10799,Ricky Glenn  vs. Myles Jury ,L/W
10800,Omari Akhmedov  vs. Marvin Vettori ,D/D
10801,Matheus Nicolau  vs. Louis Smolka ,W/L
10802,Mark De La Rosa  vs. Tim Elliott ,L/W
10803,Rafael Dos Anjos  vs. Robbie Lawler ,W/L
10804,Josh Emmett  vs. Ricardo Lamas ,W/L
10805,Mike Perry  vs. Santiago Ponzinibbio ,L/W
10806,Misha Cirkunov  vs. Glover Teixeira ,L/W
10807,Jan Blachowicz  vs. Jared Cannonier ,W/L
10808,Darren Stewart  vs. Julian Marquez ,L/W
10809,Galore Bofando  vs. Chad Laprise ,L/W
10810,Danny Roberts  vs. Nordine Taleb ,L/W
10811,Abel Trujillo  vs. John Makdessi ,L/W
10812,Oluwale Bamgbose  vs. Alessio Di Chirico ,L/W
10813,Erick Silva  vs. Jordan Mein ,L/W
10814,Brian Ortega  vs. Cub Swanson ,W/L
10815,Gabriel Benitez  vs. Jason Knight ,W/L
10816,Aljamain Sterling  vs. Marlon Moraes ,L/W
10817,Darrell Horcher  vs. Scott Holtzman ,L/W
10818,Markus Perez  vs. Eryk Anders ,L/W
10819,Benito Lopez  vs. Albert Morales ,W/L
10820,Liz Carmouche  vs. Alexis Davis ,L/W
10821,Andre Soukhamthath  vs. Luke Sanders ,W/L
10822,Alex Perez  vs. Carls John De Tomas ,W/L
10823,Merab Dvalishvili  vs. Frankie Saenz ,L/W
10824,Iuri Alcantara  vs. Alejandro Perez ,L/W
10825,Davi Ramos  vs. Chris Gruetzemacher ,W/L
10826,Trevin Giles  vs. Antonio Braga Neto ,W/L
10827,Jose Aldo  vs. Max Holloway ,L/W
10828,Francis Ngannou  vs. Alistair Overeem ,W/L
10829,Sergio Pettis  vs. Henry Cejudo ,L/W
10830,Justin Gaethje  vs. Eddie Alvarez ,L/W
10831,Michelle Waterson  vs. Tecia Torres ,L/W
10832,Paul Felder  vs. Charles Oliveira ,W/L
10833,Yancy Medeiros  vs. Alex Oliveira ,W/L
10834,Drakkar Klose  vs. David Teymur ,L/W
10835,Cortney Casey  vs. Felice Herrig ,L/W
10836,Angela Magana  vs. Amanda Cooper ,L/W
10837,Abdul Razak Alhassan  vs. Sabah Homasi ,W/L
10838,Dominick Reyes  vs. Jeremy Kimball ,W/L
10839,Allen Crowder  vs. Justin Willis ,L/W
10840,Roxanne Modafferi  vs. Nicco Montano ,L/W
10841,Terrion Ware  vs. Sean O'Malley ,L/W
10842,Lauren Murphy  vs. Barb Honchak ,W/L
10843,Gerald Meerschaert  vs. Eric Spicely ,W/L
10844,Melinda Fabian  vs. DeAnna Bennett ,D/D
10845,Brett Johns  vs. Joe Soto ,W/L
10846,Montana De La Rosa  vs. Christina Marks ,W/L
10847,Ryan Janes  vs. Andrew Sanchez ,W/L
10848,Rachael Ostovich  vs. Karine Gevorgyan ,W/L
10849,Shana Dobson  vs. Ariel Beck ,W/L
10850,Emily Whitmire  vs. Gillian Robertson ,L/W
10851,Kelvin Gastelum  vs. Michael Bisping ,W/L
10852,Zak Ottow  vs. Li Jingliang ,L/W
10853,Alex Caceres  vs. Wang Guan ,L/W
10854,Alex Garcia  vs. Muslim Salikhov ,W/L
10855,Sheymon Moraes  vs. Zabit Magomedsharipov ,L/W
10856,Bobby Nash  vs. Song Kenan ,L/W
10857,Yan Xiaonan  vs. Kailin Curran ,W/L
10858,Bharat Kandare  vs. Song Yadong ,L/W
10859,Shamil Abdurakhimov  vs. Chase Sherman ,W/L
10860,Gina Mazany  vs. Wu Yanan ,W/L
10861,Rolando Dy  vs. Wuliji Buren ,W/L
10862,Hu Yaozong  vs. Cyril Asker ,L/W
10863,Marcin Tybura  vs. Fabricio Werdum ,L/W
10864,Jessica-Rose Clark  vs. Bec Rawlings ,W/L
10865,Belal Muhammad  vs. Tim Means ,W/L
10866,Bojan Velickovic  vs. Jake Matthews ,L/W
10867,Daniel Kelly  vs. Elias Theodorou ,L/W
10868,Shane Young  vs. Alexander Volkanovski ,L/W
10869,Ashkan Mokhtarian  vs. Ryan Benoit ,L/W
10870,Will Brooks  vs. Nik Lentz ,L/W
10871,Tai Tuivasa  vs. Rashad Coulter ,W/L
10872,Frank Camacho  vs. Damien Brown ,W/L
10873,Nadia Kassem  vs. Alex Chambers ,W/L
10874,Eric Shelton  vs. Jenel Lausa ,W/L
10875,Adam Wieczorek  vs. Anthony Hamilton ,W/L
10876,Anthony Pettis  vs. Dustin Poirier ,L/W
10877,Diego Sanchez  vs. Matt Brown ,L/W
10878,Andrei Arlovski  vs. Junior Albini ,W/L
10879,Cezar Ferreira  vs. Nate Marquardt ,W/L
10880,Matthew Lopez  vs. Raphael Assuncao ,L/W
10881,Clay Guida  vs. Joe Lauzon ,W/L
10882,Marlon Moraes  vs. John Dodson ,W/L
10883,Viviane Pereira  vs. Tatiana Suarez ,L/W
10884,Michel Quinones  vs. Sage Northcutt ,L/W
10885,Nina Nunes  vs. Angela Hill ,W/L
10886,Sean Strickland  vs. Court McGee ,W/L
10887,Marcel Fortuna  vs. Jake Collier ,L/W
10888,Karl Roberson  vs. Darren Stewart ,W/L
10889,Georges St-Pierre  vs. Michael Bisping ,W/L
10890,TJ Dillashaw  vs. Cody Garbrandt ,W/L
10891,Rose Namajunas  vs. Joanna Jedrzejczyk ,W/L
10892,Jorge Masvidal  vs. Stephen Thompson ,L/W
10893,Paulo Costa  vs. Johny Hendricks ,W/L
10894,Joe Duffy  vs. James Vick ,L/W
10895,Mark Godbeer  vs. Walt Harris ,W/L
10896,Corey Anderson  vs. Ovince Saint Preux ,L/W
10897,Mickey Gall  vs. Randy Brown ,L/W
10898,Curtis Blaydes  vs. Aleksei Oleinik ,W/L
10899,Ricardo Ramos  vs. Aiemann Zahabi ,W/L
10900,Lyoto Machida  vs. Derek Brunson ,L/W
10901,Colby Covington  vs. Demian Maia ,W/L
10902,Rob Font  vs. Pedro Munhoz ,L/W
10903,Jim Miller  vs. Francisco Trinaldo ,L/W
10904,Jack Hermansson  vs. Thiago Santos ,L/W
10905,Marlon Vera  vs. John Lineker ,L/W
10906,Niko Price  vs. Vicente Luque ,L/W
10907,Jack Marshman  vs. Antonio Carlos Junior ,L/W
10908,Jared Gordon  vs. Hacran Dias ,W/L
10909,Max Griffin  vs. Elizeu Zaleski dos Santos ,L/W
10910,Jarred Brooks  vs. Deiveson Figueiredo ,L/W
10911,Christian Colombo  vs. Marcelo Golm ,L/W
10912,Darren Till  vs. Donald Cerrone ,W/L
10913,Jodie Esquibel  vs. Karolina Kowalkiewicz ,L/W
10914,Devin Clark  vs. Jan Blachowicz ,L/W
10915,Jonathan Wilson  vs. Oskar Piechota ,L/W
10916,Nasrat Haqparast  vs. Marcin Held ,L/W
10917,Brian Kelleher  vs. Damian Stasiak ,W/L
10918,Ramazan Emeev  vs. Sam Alvey ,W/L
10919,Andre Fili  vs. Artem Lobov ,W/L
10920,Warlley Alves  vs. Salim Touahri ,W/L
10921,Aspen Ladd  vs. Lina Lansberg ,W/L
10922,Josh Emmett  vs. Felipe Arantes ,W/L
10923,Kevin Lee  vs. Tony Ferguson ,L/W
10924,Ray Borg  vs. Demetrious Johnson ,L/W
10925,Walt Harris  vs. Fabricio Werdum ,L/W
10926,Kalindra Faria  vs. Mara Romero Borella ,L/W
10927,Evan Dunham  vs. Beneil Dariush ,D/D
10928,Cody Stamann  vs. Tom Duquesnoy ,W/L
10929,Bobby Green  vs. Lando Vannata ,D/D
10930,Poliana Botelho  vs. Pearl Gonzalez ,W/L
10931,Marco Beltran  vs. Matt Schnell ,L/W
10932,Bibulatov Magomed  vs. John Moraga ,L/W
10933,Brad Tavares  vs. Thales Leites ,W/L
10934,Yushin Okami  vs. Ovince Saint Preux ,L/W
10935,Jessica Andrade  vs. Claudia Gadelha ,W/L
10936,Dong Hyun Ma  vs. Takanori Gomi ,W/L
10937,Henrique da Silva  vs. Gokhan Saki ,L/W
10938,Rolando Dy  vs. Teruto Ishihara ,L/W
10939,Yuta Sasaki  vs. Jussier Formiga ,L/W
10940,Alex Morono  vs. Keita Nakamura ,L/W
10941,Chan-Mi Jeon  vs. Syuri Kondo ,L/W
10942,Luke Jumeau  vs. Shinsho Anzai ,L/W
10943,Hyun Gyu Lim  vs. Daichi Abe ,L/W
10944,David Branch  vs. Luke Rockhold ,L/W
10945,Alex Reyes  vs. Mike Perry ,L/W
10946,Anthony Smith  vs. Hector Lombard ,W/L
10947,Jason Gonzalez  vs. Gregor Gillespie ,L/W
10948,Sergio Moraes  vs. Kamaru Usman ,L/W
10949,Azunna Anyanwu  vs. Justin Ledet ,L/W
10950,Olivier Aubin-Mercier  vs. Anthony Rocco Martin ,W/L
10951,Daniel Spitz  vs. Anthony Hamilton ,W/L
10952,Uriah Hall  vs. Krzysztof Jotko ,W/L
10953,Gilbert Burns  vs. Jason Saggo ,W/L
10954,Valentina Shevchenko  vs. Amanda Nunes ,L/W
10955,Rafael Dos Anjos  vs. Neil Magny ,W/L
10956,Wilson Reis  vs. Henry Cejudo ,L/W
10957,Tyson Pedro  vs. Ilir Latifi ,L/W
10958,Gilbert Melendez  vs. Jeremy Stephens ,L/W
10959,Ketlen Vieira  vs. Sara McMann ,W/L
10960,Ashlee Evans-Smith  vs. Sarah Moras ,L/W
10961,Ricky Glenn  vs. Gavin Tucker ,W/L
10962,Alex White  vs. Mitch Clarke ,W/L
10963,Arjan Bhullar  vs. Luis Henrique ,W/L
10964,Adriano Martins  vs. Kajan Johnson ,L/W
10965,Stefan Struve  vs. Alexander Volkov ,L/W
10966,Rob Wilkinson  vs. Siyar Bahadurzada ,L/W
10967,Talita Bernardo  vs. Marion Reneau ,L/W
10968,Bryan Barberena  vs. Leon Edwards ,L/W
10969,Bojan Velickovic  vs. Darren Till ,L/W
10970,Felipe Silva  vs. Mairbek Taisumov ,L/W
10971,Mads Burnell  vs. Michel Prazeres ,L/W
10972,Desmond Green  vs. Rustam Khabilov ,L/W
10973,Aleksandar Rakic  vs. Francimar Barroso ,W/L
10974,Zabit Magomedsharipov  vs. Mike Santiago ,W/L
10975,Abdul-Kerim Edilov  vs. Bojan Mihajlovic ,W/L
10976,Andrew Holbrook  vs. Thibault Gouti ,L/W
10977,Brandon Moreno  vs. Sergio Pettis ,L/W
10978,Alexa Grasso  vs. Randa Markos ,W/L
10979,Niko Price  vs. Alan Jouban ,W/L
10980,Humberto Bandenay  vs. Martin Bravo ,W/L
10981,Rashad Evans  vs. Sam Alvey ,L/W
10982,Andre Soukhamthath  vs. Alejandro Perez ,L/W
10983,Jack Hermansson  vs. Brad Scott ,W/L
10984,Hector Sandoval  vs. Dustin Ortiz ,L/W
10985,Rani Yahya  vs. Henry Briones ,W/L
10986,Diego Rivas  vs. Jose Quinonez ,L/W
10987,Robert Sanchez  vs. Joseph Morales ,L/W
10988,Jordan Rinaldi  vs. Alvaro Herrera Mendoza ,W/L
10989,Jon Jones  vs. Daniel Cormier ,NC/NC
10990,Demian Maia  vs. Tyron Woodley ,L/W
10991,Tonya Evinger  vs. Cristiane Justino ,L/W
10992,Donald Cerrone  vs. Robbie Lawler ,L/W
10993,Volkan Oezdemir  vs. Jimi Manuwa ,W/L
10994,Jason Knight  vs. Ricardo Lamas ,L/W
10995,Renan Barao  vs. Aljamain Sterling ,L/W
10996,Renato Moicano  vs. Brian Ortega ,L/W
10997,Calvin Kattar  vs. Andre Fili ,W/L
10998,Aleksandra Albu  vs. Kailin Curran ,W/L
10999,Jarred Brooks  vs. Eric Shelton ,W/L
11000,Drew Dober  vs. Joshua Burkman ,W/L
11001,Kelvin Gastelum  vs. Chris Weidman ,L/W
11002,Darren Elkins  vs. Dennis Bermudez ,W/L
11003,Gian Villante  vs. Patrick Cummins ,L/W
11004,Thomas Almeida  vs. Jimmie Rivera ,L/W
11005,Elizeu Zaleski dos Santos  vs. Lyman Good ,W/L
11006,Eryk Anders  vs. Rafael Natal ,W/L
11007,Alex Oliveira  vs. Ryan LaFlare ,W/L
11008,Chase Sherman  vs. Damian Grabowski ,W/L
11009,Jeremy Kennedy  vs. Kyle Bochniak ,W/L
11010,Marlon Vera  vs. Brian Kelleher ,W/L
11011,Junior Albini  vs. Timothy Johnson ,W/L
11012,Godofredo Pepey  vs. Shane Burgos ,L/W
11013,Chris Wade  vs. Frankie Perez ,W/L
11014,Santiago Ponzinibbio  vs. Gunnar Nelson ,W/L
11015,Cynthia Calvillo  vs. Joanne Wood ,W/L
11016,Paul Felder  vs. Stevie Ray ,W/L
11017,Ryan Janes  vs. Jack Marshman ,L/W
11018,Paul Craig  vs. Khalil Rountree Jr. ,L/W
11019,Justin Willis  vs. James Mulheron ,W/L
11020,Bobby Nash  vs. Danny Roberts ,L/W
11021,Neil Seery  vs. Alexandre Pantoja ,L/W
11022,Galore Bofando  vs. Charlie Ward ,W/L
11023,Daniel Teymur  vs. Danny Henry ,L/W
11024,Albert Morales  vs. Brett Johns ,L/W
11025,Amanda Lemos  vs. Leslie Smith ,L/W
11026,Robert Whittaker  vs. Yoel Romero ,W/L
11027,Alistair Overeem  vs. Fabricio Werdum ,W/L
11028,Curtis Blaydes  vs. Daniel Omielanczuk ,W/L
11029,Jim Miller  vs. Anthony Pettis ,L/W
11030,Douglas Silva de Andrade  vs. Rob Font ,L/W
11031,Aleksei Oleinik  vs. Travis Browne ,W/L
11032,Brian Camozzi  vs. Chad Laprise ,L/W
11033,Gerald Meerschaert  vs. Thiago Santos ,L/W
11034,Belal Muhammad  vs. Jordan Mein ,W/L
11035,Terrion Ware  vs. Cody Stamann ,L/W
11036,James Bochnovic  vs. Trevin Giles ,L/W
11037,Justin Gaethje  vs. Michael Johnson ,W/L
11038,Jesse Taylor  vs. Dhiego Lima ,W/L
11039,Drakkar Klose  vs. Marc Diakiese ,W/L
11040,Nick Roehrick  vs. Jared Cannonier ,L/W
11041,Elias Theodorou  vs. Brad Tavares ,L/W
11042,Marcel Fortuna  vs. Jordan Johnson ,L/W
11043,Ashley Yoder  vs. Angela Hill ,L/W
11044,Tom Gallicchio  vs. James Krause ,L/W
11045,CB Dollaway  vs. Ed Herman ,W/L
11046,Juliana Lima  vs. Tecia Torres ,L/W
11047,Teruto Ishihara  vs. Gray Maynard ,L/W
11048,Kevin Lee  vs. Michael Chiesa ,W/L
11049,Johny Hendricks  vs. Tim Boetsch ,L/W
11050,Justine Kish  vs. Felice Herrig ,L/W
11051,Dominick Reyes  vs. Joachim Christensen ,W/L
11052,Alex Garcia  vs. Tim Means ,L/W
11053,Dennis Siver  vs. BJ Penn ,W/L
11054,Erik Koch  vs. Clay Guida ,L/W
11055,Marvin Vettori  vs. Vitor Miranda ,W/L
11056,Maryna Moroz  vs. Carla Esparza ,L/W
11057,Darrell Horcher  vs. Devin Powell ,W/L
11058,Michel Quinones  vs. Jared Gordon ,L/W
11059,Johnny Case  vs. Anthony Rocco Martin ,L/W
11060,Jeremy Kimball  vs. Josh Stansbury ,W/L
11061,Bethe Correia  vs. Holly Holm ,L/W
11062,Marcin Tybura  vs. Andrei Arlovski ,W/L
11063,Colby Covington  vs. Dong Hyun Kim ,W/L
11064,Rafael Dos Anjos  vs. Tarec Saffiedine ,W/L
11065,Jon Tuck  vs. Takanori Gomi ,W/L
11066,Walt Harris  vs. Cyril Asker ,W/L
11067,Rolando Dy  vs. Alex Caceres ,L/W
11068,Yuta Sasaki  vs. Justin Scoggins ,W/L
11069,Frank Camacho  vs. Li Jingliang ,L/W
11070,Russell Doane  vs. Kwan Ho Kwak ,W/L
11071,Carls John De Tomas  vs. Naoki Inoue ,L/W
11072,Lucie Pudilova  vs. Ji Yeon Kim ,W/L
11073,Mark Hunt  vs. Derrick Lewis ,W/L
11074,Daniel Kelly  vs. Derek Brunson ,L/W
11075,Ross Pearson  vs. Dan Hooker ,L/W
11076,Henrique da Silva  vs. Ion Cutelaba ,L/W
11077,Ben Nguyen  vs. Tim Elliott ,W/L
11078,Mizuto Hirota  vs. Alexander Volkanovski ,L/W
11079,Vinc Pichel  vs. Damien Brown ,W/L
11080,Dominique Steele  vs. Luke Jumeau ,L/W
11081,Ashkan Mokhtarian  vs. John Moraga ,L/W
11082,Zak Ottow  vs. Kiichi Kunimoto ,W/L
11083,Chan-Mi Jeon  vs. JJ Aldrich ,L/W
11084,Max Holloway  vs. Jose Aldo ,W/L
11085,Karolina Kowalkiewicz  vs. Claudia Gadelha ,L/W
11086,Nate Marquardt  vs. Vitor Belfort ,L/W
11087,Oluwale Bamgbose  vs. Paulo Costa ,L/W
11088,Yancy Medeiros  vs. Erick Silva ,W/L
11089,Marlon Moraes  vs. Raphael Assuncao ,L/W
11090,Eric Spicely  vs. Antonio Carlos Junior ,L/W
11091,Matthew Lopez  vs. Johnny Eduardo ,W/L
11092,Brian Kelleher  vs. Iuri Alcantara ,W/L
11093,Jamie Moyle  vs. Viviane Pereira ,L/W
11094,Jim Wallhead  vs. Luan Chagas ,L/W
11095,Deiveson Figueiredo  vs. Marco Beltran ,W/L
11096,Glover Teixeira  vs. Alexander Gustafsson ,L/W
11097,Misha Cirkunov  vs. Volkan Oezdemir ,L/W
11098,Ben Saunders  vs. Peter Sobotta ,L/W
11099,Omari Akhmedov  vs. Abdul Razak Alhassan ,W/L
11100,Nordine Taleb  vs. Oliver Enkamp ,W/L
11101,Alex Nicholson  vs. Jack Hermansson ,L/W
11102,Damian Stasiak  vs. Pedro Munhoz ,L/W
11103,Chris Camozzi  vs. Trevor Smith ,L/W
11104,Joaquim Silva  vs. Reza Madadi ,W/L
11105,Bojan Velickovic  vs. Nicholas Musoke ,W/L
11106,Jessin Ayari  vs. Darren Till ,L/W
11107,Damir Hadzovic  vs. Marcin Held ,W/L
11108,Junior Dos Santos  vs. Stipe Miocic ,L/W
11109,Jessica Andrade  vs. Joanna Jedrzejczyk ,L/W
11110,Jorge Masvidal  vs. Demian Maia ,L/W
11111,Yair Rodriguez  vs. Frankie Edgar ,L/W
11112,David Branch  vs. Krzysztof Jotko ,W/L
11113,Dustin Poirier  vs. Eddie Alvarez ,NC/NC
11114,Jason Knight  vs. Chas Skelly ,W/L
11115,Rashad Coulter  vs. Chase Sherman ,L/W
11116,Marco Polo Reyes  vs. James Vick ,L/W
11117,Cortney Casey  vs. Jessica Aguilar ,W/L
11118,Enrique Barzola  vs. Gabriel Benitez ,W/L
11119,Gadzhimurad Antigulov  vs. Joachim Christensen ,W/L
11120,Artem Lobov  vs. Cub Swanson ,L/W
11121,Diego Sanchez  vs. Al Iaquinta ,L/W
11122,Marcos Rogerio de Lima  vs. Ovince Saint Preux ,L/W
11123,Eddie Wineland  vs. John Dodson ,L/W
11124,Stevie Ray  vs. Joe Lauzon ,W/L
11125,Mike Perry  vs. Jake Ellenberger ,W/L
11126,Sam Alvey  vs. Thales Leites ,L/W
11127,Brandon Moreno  vs. Dustin Ortiz ,W/L
11128,Michael McBride  vs. Scott Holtzman ,L/W
11129,Danielle Taylor  vs. Jessica Penne ,W/L
11130,Cindy Dandois  vs. Alexis Davis ,L/W
11131,Joe Proctor  vs. Bryan Barberena ,L/W
11132,Matt Schnell  vs. Hector Sandoval ,L/W
11133,Wilson Reis  vs. Demetrious Johnson ,L/W
11134,Michelle Waterson  vs. Rose Namajunas ,L/W
11135,Robert Whittaker  vs. Jacare Souza ,W/L
11136,Renato Moicano  vs. Jeremy Stephens ,W/L
11137,Roy Nelson  vs. Alexander Volkov ,L/W
11138,Tom Duquesnoy  vs. Patrick Williams ,W/L
11139,Rashid Magomedov  vs. Bobby Green ,W/L
11140,Tim Elliott  vs. Louis Smolka ,W/L
11141,Augusto Mendes  vs. Aljamain Sterling ,L/W
11142,Jake Collier  vs. Devin Clark ,L/W
11143,Andrew Sanchez  vs. Anthony Smith ,L/W
11144,Nathan Coy  vs. Zak Cummings ,L/W
11145,Ketlen Vieira  vs. Ashlee Evans-Smith ,W/L
11146,Anthony Johnson  vs. Daniel Cormier ,L/W
11147,Gegard Mousasi  vs. Chris Weidman ,W/L
11148,Pearl Gonzalez  vs. Cynthia Calvillo ,L/W
11149,Patrick Cote  vs. Thiago Alves ,L/W
11150,Charles Oliveira  vs. Will Brooks ,W/L
11151,Mike de la Torre  vs. Myles Jury ,L/W
11152,Sean Strickland  vs. Kamaru Usman ,L/W
11153,Charles Rosa  vs. Shane Burgos ,L/W
11154,Jan Blachowicz  vs. Patrick Cummins ,L/W
11155,Andrew Holbrook  vs. Gregor Gillespie ,L/W
11156,Desmond Green  vs. Josh Emmett ,W/L
11157,Irene Aldana  vs. Katlyn Chookagian ,L/W
11158,Bibulatov Magomed  vs. Jenel Lausa ,W/L
11159,Corey Anderson  vs. Jimi Manuwa ,L/W
11160,Alan Jouban  vs. Gunnar Nelson ,L/W
11161,Marlon Vera  vs. Brad Pickett ,W/L
11162,Makwan Amirkhani  vs. Arnold Allen ,L/W
11163,Reza Madadi  vs. Joe Duffy ,L/W
11164,Francimar Barroso  vs. Darren Stewart ,W/L
11165,Timothy Johnson  vs. Daniel Omielanczuk ,W/L
11166,Vicente Luque  vs. Leon Edwards ,L/W
11167,Teemu Packalen  vs. Marc Diakiese ,L/W
11168,Scott Askham  vs. Brad Scott ,L/W
11169,Lucie Pudilova  vs. Lina Lansberg ,L/W
11170,Kelvin Gastelum  vs. Vitor Belfort ,NC/NC
11171,Gian Villante  vs. Mauricio Rua ,L/W
11172,Beneil Dariush  vs. Edson Barboza ,L/W
11173,Ray Borg  vs. Jussier Formiga ,W/L
11174,Marion Reneau  vs. Bethe Correia ,D/D
11175,Tim Means  vs. Alex Oliveira ,L/W
11176,Kevin Lee  vs. Francisco Trinaldo ,W/L
11177,Davi Ramos  vs. Sergio Moraes ,L/W
11178,Joe Soto  vs. Rani Yahya ,W/L
11179,Joshua Burkman  vs. Michel Prazeres ,L/W
11180,Jeremy Kennedy  vs. Rony Jason ,W/L
11181,Paulo Costa  vs. Garreth McLellan ,W/L
11182,Stephen Thompson  vs. Tyron Woodley ,L/W
11183,David Teymur  vs. Lando Vannata ,W/L
11184,Daniel Kelly  vs. Rashad Evans ,W/L
11185,Cynthia Calvillo  vs. Amanda Cooper ,W/L
11186,Mark Hunt  vs. Alistair Overeem ,L/W
11187,Luis Henrique  vs. Marcin Tybura ,L/W
11188,Darren Elkins  vs. Mirsad Bektic ,W/L
11189,Luke Sanders  vs. Iuri Alcantara ,L/W
11190,Daniel Spitz  vs. Mark Godbeer ,L/W
11191,Paul Craig  vs. Tyson Pedro ,L/W
11192,Andre Soukhamthath  vs. Albert Morales ,L/W
11193,Travis Browne  vs. Derrick Lewis ,L/W
11194,Hector Lombard  vs. Johny Hendricks ,L/W
11195,Gavin Tucker  vs. Sam Sicilia ,W/L
11196,Cezar Ferreira  vs. Elias Theodorou ,L/W
11197,Gina Mazany  vs. Sara McMann ,L/W
11198,Alex Ricci  vs. Paul Felder ,L/W
11199,Santiago Ponzinibbio  vs. Nordine Taleb ,W/L
11200,Randa Markos  vs. Carla Esparza ,W/L
11201,Reginaldo Vieira  vs. Aiemann Zahabi ,L/W
11202,Thiago Santos  vs. Jack Marshman ,W/L
11203,Ryan Janes  vs. Gerald Meerschaert ,L/W
11204,Germaine de Randamie  vs. Holly Holm ,W/L
11205,Derek Brunson  vs. Anderson Silva ,L/W
11206,Tim Boetsch  vs. Jacare Souza ,L/W
11207,Jared Cannonier  vs. Glover Teixeira ,L/W
11208,Jim Miller  vs. Dustin Poirier ,L/W
11209,Belal Muhammad  vs. Randy Brown ,W/L
11210,Yuta Sasaki  vs. Wilson Reis ,L/W
11211,Islam Makhachev  vs. Nik Lentz ,W/L
11212,Phillipe Nover  vs. Ricky Glenn ,L/W
11213,Roan Carneiro  vs. Ryan LaFlare ,L/W
11214,Chan Sung Jung  vs. Dennis Bermudez ,W/L
11215,Felice Herrig  vs. Alexa Grasso ,W/L
11216,James Vick  vs. Abel Trujillo ,W/L
11217,Volkan Oezdemir  vs. Ovince Saint Preux ,W/L
11218,Marcel Fortuna  vs. Anthony Hamilton ,W/L
11219,Angela Hill  vs. Jessica Andrade ,L/W
11220,Curtis Blaydes  vs. Adam Milstead ,NC/NC
11221,Chris Gruetzemacher  vs. Chas Skelly ,L/W
11222,Michinori Tanaka  vs. Ricardo Ramos ,L/W
11223,Bec Rawlings  vs. Tecia Torres ,L/W
11224,Niko Price  vs. Alex Morono ,NC/NC
11225,Khalil Rountree Jr.  vs. Daniel Jolly ,W/L
11226,Julianna Pena  vs. Valentina Shevchenko ,L/W
11227,Jorge Masvidal  vs. Donald Cerrone ,W/L
11228,Francis Ngannou  vs. Andrei Arlovski ,W/L
11229,Jason Knight  vs. Alex Caceres ,W/L
11230,Sam Alvey  vs. Nate Marquardt ,W/L
11231,Aljamain Sterling  vs. Raphael Assuncao ,L/W
11232,Li Jingliang  vs. Bobby Nash ,W/L
11233,Jordan Johnson  vs. Henrique da Silva ,W/L
11234,Alessio Di Chirico  vs. Eric Spicely ,L/W
11235,Jeremy Kimball  vs. Marcos Rogerio de Lima ,L/W
11236,Eric Shelton  vs. Alexandre Pantoja ,L/W
11237,JC Cottrell  vs. Jason Gonzalez ,L/W
11238,BJ Penn  vs. Yair Rodriguez ,L/W
11239,Marcin Held  vs. Joe Lauzon ,L/W
11240,Ben Saunders  vs. Court McGee ,W/L
11241,Sergio Pettis  vs. John Moraga ,W/L
11242,Drakkar Klose  vs. Devin Powell ,W/L
11243,Augusto Mendes  vs. Frankie Saenz ,W/L
11244,Viktor Pesta  vs. Aleksei Oleinik ,L/W
11245,Alex White  vs. Anthony Rocco Martin ,L/W
11246,Nina Nunes  vs. Jocelyn Jones-Lybarger ,W/L
11247,Chase Sherman  vs. Walt Harris ,L/W
11248,Joachim Christensen  vs. Bojan Mihajlovic ,W/L
11249,Cyril Asker  vs. Dmitrii Smoliakov ,W/L
11250,Ronda Rousey  vs. Amanda Nunes ,L/W
11251,Cody Garbrandt  vs. Dominick Cruz ,W/L
11252,John Lineker  vs. TJ Dillashaw ,L/W
11253,Tarec Saffiedine  vs. Dong Hyun Kim ,L/W
11254,Ray Borg  vs. Louis Smolka ,W/L
11255,Neil Magny  vs. Johny Hendricks ,W/L
11256,Marvin Vettori  vs. Antonio Carlos Junior ,L/W
11257,Alex Garcia  vs. Mike Pyle ,W/L
11258,Niko Price  vs. Brandon Thatch ,W/L
11259,Tim Means  vs. Alex Oliveira ,NC/NC
11260,Michelle Waterson  vs. Paige VanZant ,W/L
11261,Mickey Gall  vs. Sage Northcutt ,W/L
11262,Brad Pickett  vs. Urijah Faber ,L/W
11263,Mike Perry  vs. Alan Jouban ,L/W
11264,Paul Craig  vs. Henrique da Silva ,W/L
11265,Mizuto Hirota  vs. Cole Miller ,W/L
11266,Colby Covington  vs. Bryan Barberena ,W/L
11267,Alex Morono  vs. James Moontasri ,W/L
11268,Scott Holtzman  vs. Josh Emmett ,L/W
11269,Irene Aldana  vs. Leslie Smith ,L/W
11270,Takeya Mizugaki  vs. Eddie Wineland ,L/W
11271,Fredy Serrano  vs. Hector Sandoval ,L/W
11272,Sultan Aliev  vs. Bojan Velickovic ,W/L
